,project_name,bid_classification,bid_type,Category
3856,"Supply, Delivery And Installation Of Ancillary Furniture For The Regional Municipality Of York",Goods,Request for Tender(RFT),
3858,"Catch Basin, Maintenance Hold And Curb Repair Within The Regional Municipality Of Of York",Services,Request for Tender(RFT),
3863,"Construction Of Building Addition At The Central District Road Maintenance Facility At 16042 Woodbine Avenue, Town Of Whitchurch-Stouffville",Construction,Request for Tender(RFT),
3868,Installation Of Traffic Control Signals - 16Th Avenue (Y.R. 73) And Williamson Road In The City Of Markham,Construction,Request for Tender(RFT),
3874,Consulting Services For The Five Year Review And Update Of The Integrated Waste Management Master Plan (Sm4Rt Living Plan),Services,Request for Proposal(RFP),
3877,Parametric Energy Modelling And Sustainable Building Policy Consulting,Services,Request for Proposal(RFP),
3880,2019 Corporate Energy Conservation And Demand Management Plan Update,Services,Request for Proposal(RFP),
3884,"Roof Replacement At Hadley Grange At 16105 Yonge Street, Aurora",Construction,Request for Tender(RFT),
3889,Full Depth Removal Of Asphalt Pavement And Hot Mix Asphalt Paving On Green Lane (Y.R. 19) From 550 Meters East Of Bathurst Street (Y.R. 38) To 390 Meters East Of Leslie Street (Y.R. 12) And On Old Green Lane In The Town Of East Gwillimbury,Construction,Request for Tender(RFT),
3898,"Boulevard Maintenance Within York Region  In The Towns Of Georgina, East Gwillimbury And King For 2018 & 2019",Services,Request for Tender(RFT),
3907,"Routing, Cleaning And Crack Sealing On Various Roads In The Region Of York",Construction,Request for Tender(RFT),
3909,Partial Depth Removal Of Asphalt And Hot Mix Asphalt Paving At Various Locations In The Regional Municipality Of York,Construction,Request for Tender(RFT),
3918,Supply And Delivery Of Water-Bourne Traffic Paint For Pavement Marking For York Region,Goods,Request for Tender(RFT),
3920,Electrical Maintenance At York Region Transit Facilities,Services,Request for Tender(RFT),
3930,Wet Well Cleaning At Five (5) Regional Pump Stations,Services,Request for Tender(RFT),
3933,Emergency Repairs To Roads And Related Road Facility Features In The Regional Municipality Of York,Construction,Request for Tender(RFT),
3937,"Full Depth Removal Of Asphalt Pavement, Hot Mix Asphalt Paving And Intersection Improvements On Rutherford Road (Y.R. 73) From 230 Meters East Of Islington Avenue (Y.R. 17) To 100 Meters East Of Pine Valley Drive (Y.R. 57) In The City Of Vaughan",Construction,Request for Tender(RFT),
3947,Supply And Delivery Of Authorized Ford Original Equipment Manufacturer (Oem) Parts And Services For Paramedic Services In The North District,Goods,Request for Tender(RFT),
3948,Warehouse Upgrades For Furniture Storage At 145 Harry Walker Pkwy In Newmarket,Construction,Request for Tender(RFT),
3961,"Contractors For Test Pile Installation And Load Testing At 20908/20854 2Nd Concession, East Gwillimbury",Construction,Request for Pre-Qualification(RFPQ),
3963,Contract Management Solution,Goods,Request for Proposal(RFP),
3968,Granular Materials Registry,Goods,Request for Tender(RFT),
3977,Consulting Services For Development Of The Community & Health Services Infrastructure Asset Management Plan,Services,Request for Proposal(RFP),
3979,"Design, Contract Administration And Site Inspection Services For The Jane Dufferin Collector Gravity Sewer Rehabilitation",Services,Request for Proposal(RFP),
3983,Bullock Drive Watermain Re-Lining,Construction,Request for Tender(RFT),
3985,Armoured Car Services,Services,Request for Tender(RFT),
3989,Veritas Maintenance And Support,Goods,Request for Tender(RFT),
3991,"Contractors For Test Pile Installation And Load Testing At 20908/20854 2Nd Concession, East Gwillimbury",Services,Request for Pre-Qualification(RFPQ),
3993,"Pre-Qualification For The Supply, Delivery And Installation Of Ancillary Furniture To The Region Of York",Services,Request for Pre-Qualification(RFPQ),
3995,Consulting Services For The Five Year Review And Update Of The Integrated Waste Management Master Plan (Sm4Rt Living Plan),Services,Request for Pre-Qualification(RFPQ),
4000,Scada Pac Panel Installation And Commissioning For Hub 4,Construction,Request for Tender(RFT),
4002,Home Now Program (A Housing First Program Intervention),Services,Request for Proposal(RFP),
4006,"Jog Elimination At The Intersection Of Leslie Street And 19Th Avenue; Reconstruction And Widening Of Leslie Street, In The Town Of Richmond Hill",Construction,Request for Tender(RFT),
4019,Maximo Maintenance Support And Advanced Application Support Services,Services,Request for Proposal(RFP),
4021,"Three Make-Up Air Unit Replacements At Armitage Gardens, 200 Eagle Street, Newmarket, On",Construction,Request for Tender(RFT),
4029,"Detailed Design, Contract Administration And Site Inspection For The Keswick Sewage Pumping Station Upgrades",Services,Request for Proposal(RFP),
4033,Integrated Mobility Plus And On Demand Transit Operations Service (Buses And Mini-Buses),Services,Request for Proposal(RFP),
4041,Integrated Mobility Plus And On Demand Transit Operations Service (Sedans And Accessible Mini-Vans),Goods,Request for Proposal(RFP),
4051,"Consulting Services For Exterior Building Upgrades At Fairy Lake Gardens, Located At 468 Eagle Street, In The Town Of Newmarket",Services,Request for Proposal(RFP),
4059,Locate Services For Ytn Telecom Network Inc.,Services,Request for Tender(RFT),
4067,Architectural And Engineering Services,Services,Request for Proposal(RFP),
4071,Supply And Delivery Of Bread Products For Newmarket Health Centre And Maple Health Centre,Goods,Request for Tender(RFT),
4072,Consulting Services For Commissioning Of 275 Woodbridge Avenue Redevelopment,Services,Request for Proposal(RFP),
4074,"Renovation Of Tub Rooms At Newmarket Health Centre, 194 Eagle Street In The Town Of Newmarket, And Maple Health Centre, 10424 Keele Street In The City Of Vaughan",Construction,Request for Tender(RFT),
4077,Supply And Install Of A Fuel Management System,Goods,Request for Proposal(RFP),
4081,Request For Pre-Qualification For Structural Subcontractors – Major Mackenzie Drive From Islington Avenue To Pine Valley Drive,Construction,Request for Pre-Qualification(RFPQ),
4091,Professional Forestry Services,Services,Request for Proposal(RFP),
4093,"Site Works, Illumination And Landscaping For Temporary Salt Storage Facility At 10990 Warden Avenue, Markham",Construction,Request for Tender(RFT),
4099,"Detailed Design, Contract Administration And Site Inspection For The King City Fisher Street Elevated Tank Valve Chamber And Piping Upgrades",Services,Request for Proposal(RFP),
4103,Environmental Due Diligence Services In Support Of Property Acquisitions Along Hwy 7 - West And East Vivanext Rapidway Corridor,Services,Request for Proposal(RFP),
4116,Pest Control Services For Newmarket Health Centre And Maple Health Centre,Services,Request for Quotation(RFQ),
4122,Printing Services Broker,Services,Request for Proposal(RFP),
4127,"Condition Assessment, Background Study And Long Term Solution For  Management Of Groundwater In The Intersection Of Major Mackenzie And The Railway Line",Services,Request for Proposal(RFP),
4128,"Integrated Enterprise Security Solution: Access Control, Intrusion Detection, And Video Surveillance",Goods,Request for Pre-Qualification(RFPQ),
4134,"Reconstruction & Widening Of Hwy 27 And Resurfacing, Streetscaping & Installation Of Ytn Fibre Optics On  Hwy 27 From Parkview Ave To Wilsen Rd And On King Rd From Wellington St To Lynwood Crescent In The Township Of King",Construction,Request for Tender(RFT),
4142,Removal Of Standing Timber From The York Regional Forest,Services,Request for Quotation(RFQ),
4143,General Contractors For The Bayview Water Pumping Station Upgrades,Construction,Request for Pre-Qualification(RFPQ),
4158,Structural Pruning And Associated Tree Maintenance Activities,Construction,Request for Tender(RFT),
4159,"Consultant For Detailed Design, Contract Administration And Site Inspection For The Keswick Sewage Pumping Station Upgrades",Services,Request for Pre-Qualification(RFPQ),
4165,Request For Pre-Qualification For General Contractors – Major Mackenzie Drive From Islington Avenue To Pine Valley Drive,Construction,Request for Pre-Qualification(RFPQ),
4179,"Mature Tree And Emergency Tree Maintenance, And Hazard Tree Abatement",Construction,Request for Tender(RFT),
4182,Consulting Services For Building Condition Assessments And Energy Audits,Services,Request for Proposal(RFP),
4197,Consulting Services For Building Condition Assessments At Various Facilities,Construction,Request for Proposal(RFP),
4206,Subscription Of Symantec Endpoint Protection (Sep) Software License,Goods,Request for Tender(RFT),
4211,"Design, Contract Administration And Site Inspection Services For The North Don Collector Sewer Rehabilitation",Services,Request for Proposal(RFP),
4216,Supply And Delivery Of Bulk Carbon Dioxide And Installation Of A Carbon Dioxide Feed System For The Keswick Water Treatment Plant In The Town Of Georgina,Goods,Request for Tender(RFT),
4217,"Light Standards And Sign Reinstatement At 2006 Highway 7 West, In The City Of Vaughan, Ontario",Construction,Request for Tender(RFT),
4219,"Watermain Replacement On Bullock Drive, From Mccowan Road To Cedar Valley Park; And Along Wilson Street To Main Street/Markham Road In The City Of Markham",Construction,Request for Tender(RFT),
4227,Construction Of A Multi-Use Path For The Lake To Lake Pedestrian And Cycling Trail – Markham Section,Construction,Request for Tender(RFT),
4232,Administrative Centre Interior Lighting Retrofit,Construction,Request for Tender(RFT),
4234,Supply And Installation Of Advanced Traffic Management System,Services,Request for Proposal(RFP),
4238,Request For Information For Yrt/Viva Mapping Services,Services,Request for Information (RFI),
4241,Supply And Installation Of Various Plant Material And The Associated Establishment Activities,Construction,Request for Tender(RFT),
4244,Retaining Wall Rehabilitation And Sidewalk Repair,Construction,Request for Tender(RFT),
4249,Citrix Netscalers Licenses And Support Services,Goods,Request for Tender(RFT),
4252,Cellular & Public Safety Lmr Signal Augmentation,Services,Request for Tender(RFT),
4255,York Region Waste Transportation Services,Services,Request for Tender(RFT),
4261,Supply And Support Of Hpe Servers,Goods,Request for Tender(RFT),
4264,Rehabilitation Of York Durham Sewage System “Ydss” By Installation Of Link Pipe And Grouting/Sealing Of Identified Joints And Rehabilitation Of Two Maintenance Holes,Construction,Request for Tender(RFT),
4267,Pre-Employment Checks,Services,Request for Proposal(RFP),
4272,Electrical Motor Repairs For All York Region Water And Wastewater Facilities,Services,Request for Pre-Qualification(RFPQ),
4276,"General Contractors For Office Expansion At 16042 Woodbine Avenue, Town Of Whitchurch Stouffville, Ontario",Services,Request for Pre-Qualification(RFPQ),
4295,"Appraisal Services For Expropriation And Land Value Acquisition For The Y2.1, Y2.2 And Y3.2 Vivanext Brt Project On Yonge Street In The Town'S Of Richmond Hill And Newmarket",Services,Request for Tender(RFT),
4303,"Culvert Repairs, Storm Sewer Replacement And Slope Restoration On The East And West Embankments Of Highway 11 (Y.R.01), Approximately 500 M North Of Morning Sideroad In The Town Of East Gwillimbury",Construction,Request for Tender(RFT),
4311,Corporate Asset Management Plan And State Of Infrastructure Report,Services,Request for Proposal(RFP),
4317,Fair Market Value Of Parking Study,Services,Request for Proposal(RFP),
4318,"Janitorial Services For Housing York Inc., At Various Locations Across York Region",Services,Request for Tender(RFT),
4323,Hvac System Upgrades In It Server Room At 50 High Tech Road In The Town Of Richmond Hill,Services,Request for Tender(RFT),
4326,"Design, Contract Administration And Site Inspection Services For The Mount Albert Wells 1 & 2 Standy Generator Replacement Project",Services,Request for Proposal(RFP),
4328,Operations Of Municipal Hazardous And Special Waste (Mhsw) Facilities,Services,Request for Tender(RFT),
4330,"Interior Renovations Of Reception Areas In The York Region Administrative Centre At 17250 Yonge Street, Newmarket",Construction,Request for Tender(RFT),
4336,"Engineering, Design, Contract Administration, And Inspection Consultant Services For Stormwater Management Retrofit Project At 17250 Yonge Street, In The Town Of Newmarket",Services,Request for Proposal(RFP),
4337,Pest Control Services At Various Locations Within York Region,Services,Request for Tender(RFT),
4343,"Winter Road Maintenance Snow Removal, Hauling And Disposal - Southeast Patrol District",Services,Request for Tender(RFT),
4348,Asphalt Repairs At Various Locations Within The Regional Municipality Of York,Construction,Request for Tender(RFT),
4354,Winter Road Maintenance Snow Removal Hauling And Disposal Within Southwest Patrol District In The Regional Municipality Of York,Services,Request for Tender(RFT),
4358,Supply And Installation Of Engineered Growing Media And Related Activities,Construction,Request for Tender(RFT),
4360,Supply And Installation Of Traffic Control Signals,Goods,Request for Tender(RFT),
4363,Supply And Delivery Of Conventional 12 Metre Buses,Goods,Request for Tender(RFT),
4365,Contractors For Structural Pruning And Associated Tree Maintenance Activities,Services,Request for Pre-Qualification(RFPQ),
4367,Elevator Maintenance For York Region Transit Facilities,Services,Request for Tender(RFT),
4368,"Supply Of All Labour, Materials And Equipment For The Provision Of Vacuum Truck Services For Cleaning Channels, Tanks And Chambers At 6 Water Resource Recovery Facilities In The Region Of York",Services,Request for Tender(RFT),
4372,Homemakers Services Under The Homemakers And Nurses (Hns) Program,Services,Request for Proposal(RFP),
4377,"Foundation Waterproofing And Storm Water Upgrades At Newmarket Health Centre, 194 Eagle Street, Newmarket",Construction,Request for Tender(RFT),
4382,Request For Information - Cloth Diaper Rebate Program,Services,Request for Information (RFI),
4383,"Kitchen Replacements And Corridor Painting  At Keswick Gardens At 43 The Queensway North, In The Town Of Georgina",Construction,Request for Tender(RFT),
4386,Engineering And Design Consultant Services For Vaughan Hospital Bus Terminal,Services,Request for Proposal(RFP),
4392,Office Hvac Upgrades At 145 Harry Walker Pkwy North In The Town Of Newmarket,Construction,Request for Tender(RFT),
4397,"Winter Road Maintenance Snow Removal, Hauling And Disposal Within Central Patrol District In The Regional Municipality Of York",Services,Request for Tender(RFT),
4401,Remove And Replace Various Culverts With York Regional Municipality Of York,Construction,Request for Tender(RFT),
4405,"Kitchen And Powder Room Replacements At Brayfield Manors, Located At 919 Bray Circle, In The Town Of Newmarket",Construction,Request for Tender(RFT),
4409,Supply And Delivery Of Auto Body Repairs For Ambulances And Paramedic Response Vehicles,Services,Request for Proposal(RFP),
4410,Janitorial Services For Housing York Inc. Properties,Services,Request for Pre-Qualification(RFPQ),
4422,"Culvert Rehabilitation And Design On Highway 7 East Of Highway 427, City Of Vaughan",Services,Request for Tender(RFT),
4425,"Non-Hazardous Waste Operations And Haulage Contractors For The Georgina Transfer Station, Elgin Mills Community Environmental Centres And Mccleary Court Community Environmental Centres",Construction,Request for Tender(RFT),
4428,Supply And Delivery Of A Bluetooth Travel Time System,Goods,Request for Proposal(RFP),
4433,Engineering And Design Consulting Services For York Region Transit (Yrt) Facilities Projects,Services,Request for Proposal(RFP),
4436,Contract Administration And Site Inspection Services For The Bullock Drive Watermain Replacement Project,Services,Request for Proposal(RFP),
4440,"Supply, Delivery And Installation Of Two Storage Buildings At The Region’S Southeast District Main Yard In The City Of Markham",Construction,Request for Tender(RFT),
4442,Engineering Services For The Warden Park & Ride Site Development,Services,Request for Proposal(RFP),
4445,Installation Of Temporary Traffic Control Signals At The Intersection Of Major Mackenzie Drive (Y.R. 25) And Bathurst Street (Y.R. 38) In The City Of Vaughan And The Town Of Richmond Hill,Services,Request for Tender(RFT),
4450,"Preliminary Design, Detailed Design, Contract Administration And Site Inspection For The Aurora East Booster Pumping Station Upgrades",Services,Request for Proposal(RFP),
4454,Oracle Apex Development Services For Water Billing Upgrade And Regulatory Compliance Reporting,Services,Request for Proposal(RFP),
4457,Environmental Services Workplace And Workforce Plan,Services,Request for Proposal(RFP),
4459,"Year Round Grounds Maintenance Services, Environmental Services, Water And Wastewater Properties",Services,Request for Tender(RFT),
4466,"Exterior Site Improvements Including Replacement Of Asphalt And Concrete Pavement And Curbs, Exterior Lighting And Wooden Fence At Springbrook Gardens, 50 Silver Linden Drive In The Town Of Richmond Hill, Ontario.",Construction,Request for Tender(RFT),
4470,Reconstruction And Widening Of Major Mackenzie Drive From Approximately 115 M West Of Donald Cousens Parkway To Approximately 410 M East Of Donald Cousens Parkway In The City Of Markham,Construction,Request for Tender(RFT),
4476,Supply And Delivery Of One Ton Trucks,Goods,Request for Tender(RFT),
4479,"Rehabilitation Of The Islington Avenue Watermain From Steeles Ave. West North To Highway 7, Then West Along Highway 7 From Mckenzie St. To Kipling Ave. In The City Of Vaughan And City Of Toronto",Services,Request for Tender(RFT),
4482,"Consulting Services For Bathroom Replacements At Heritage East In The Town Of Newmarket, Rose Town In The Town Of Richmond Hill And Trinity Square In The City Of Markham",Services,Request for Proposal(RFP),
4485,Supply And Delivery Of Light Duty Vans,Goods,Request for Tender(RFT),
4489,Storm Sewer Rehabilitation With Cured-In-Place Pipe (Cipp) Liner(S) At The Intersection Of Leslie Street And Mount Albert Road (East) In The Town Of East Gwillimbury,Construction,Request for Tender(RFT),
4494,Ditch Repair At Various Location In York Region For 2017,Services,Request for Tender(RFT),
4496,Excavation And Ditching At Keele Street North Of Langstaff Road,Services,Request for Tender(RFT),
4497,Supply And Delivery Of 1/2 Ton Pick-Up Trucks,Goods,Request for Tender(RFT),
4499,Hauling And Disposal Of Surplus Material Collected From Roadway Maintenance Activities,Services,Request for Tender(RFT),
4505,Request For Information For Invoice Scanning And Processing,Services,Request for Information (RFI),
4517,Year Round Grounds Maintenance Services,Services,Request for Tender(RFT),
4525,Intersection Improvements - Bloomington Road And William Avenue In The Town Of Whitchurch-Stouffville,Construction,Request for Tender(RFT),
4530,Employee Expense Management And Purchasing Card Reconciliation Solution,Services,Request for Proposal(RFP),
4533,Supply Of Ruggedized Cellular Modems And Cellular Antennas,Goods,Request for Tender(RFT),
4535,Request For Information For Pre-Employment Checks,Services,Request for Information (RFI),
4539,"Parking Lot Replacements At Tom Taylor Place, 615 Fernbank Road, Newmarket, And Founders Place, 540 Timothy Street, Newmarket",Construction,Request for Tender(RFT),
4549,"Elevator Modernization And Maintenance At Keswick Gardens, 43 The Queensway North, Keswick And At Northview Court, 39 North Street, Sutton In The Town Of Georgina",Construction,Request for Tender(RFT),
4551,Custodial Services And Securities Lending For The Regional Municipality Of York'S Investment Portfolio,Services,Request for Proposal(RFP),
4553,Commodity Tax Review & Advisory Services,Services,Request for Proposal(RFP),
4555,Asset Management Plan For Duffin Creek Water Pollution Control Plant And Primary Truck,Construction,Request for Proposal(RFP),
4559,Installation Of Traffic Control Signals At The Intersection Of Bayview Avenue (Y.R. 34) And Dariole Drive/ Bayview Park Lane In The Town Of Richmond Hill,Construction,Request for Tender(RFT),
4564,"Supply & Installation Of Traffic Control Signals At 14Th Avenue (Y.R. 71) & Riverwalk Drive And 14Th Avenue (Y.R. 71) & Ninth Line, And The Extension Of The Concrete Median Island At 14Th Avenue (Y.R. 71) & Mcdowell Gate, All In The City Of Markham",Construction,Request for Tender(RFT),
4570,Printing Of Everyday Guide To The York Region Forest,Services,Request for Tender(RFT),
4579,"General Contractors For Kitchen And Bathroom Replacements At Brayfield Manors, Keswick Gardens And Hadley Grange",Construction,Request for Pre-Qualification(RFPQ),
4588,"Black River Bridge Rehabilitation (88-44 B0800) On Black River Road, 320 M East Of Dalton Road In The Town Of Georgina",Construction,Request for Tender(RFT),
4594,Detailed Design And Engineering Services For Major Mackenzie Drive From Hwy 50 To 550M East Of Hwy 50,Services,Request for Proposal(RFP),
4599,Inflow And Infiltration Reduction Practices Survey For New Development,Services,Request for Proposal(RFP),
4600,Traffic Signal Installation At The Queensway (Y.R. 12) & Elm Avenue/Dovedale Drive In The Town Of Georgina,Construction,Request for Tender(RFT),
4605,Detailed Design And Engineering Services For Elgin Mills Road From Bathurst Street To Yonge Street,Services,Request for Proposal(RFP),
4610,Granular Material Shouldering At Various Locations In The Regional Muncipality Of York,Construction,Request for Tender(RFT),
4611,"Professional Surveyor Services For Y-2.1 And Y2.2 Yonge Street, Town Of Richmond Hill",Services,Request for Tender(RFT),
4613,Window And Door Replacements At Maplewood Place At 71 Dunlop Street In The Town Of Richmond Hill,Construction,Request for Tender(RFT),
4618,"Recoating, Antenna Mast Installation And Facility Upgrades Of Stouffville Zone Ii Elevated Tank At 12519 10Th Line, Town Of Whitchurch-Stouffville And Newmarket South East (Magna) Elevated Tank At 1030 Ivsbridge Blvd., Town Of Newmarket",Construction,Request for Tender(RFT),
4619,Mechanical General Contractors And Electrical Subcontractors For The Maple Pumping Station Pd8 Capacity Expansion,Construction,Request for Pre-Qualification(RFPQ),
4638,Detailed Design For Southeast District Road Maintenance And Snow Storage Facility,Services,Request for Pre-Qualification(RFPQ),
4641,Well Construction And Decommissioning For The 2017 Monitoring Well Optimization Project At Various Locations In The Regional Municipality Of York,Construction,Request for Tender(RFT),
4643,"Fuel Station Installation At 2850 Rutherford Road, Vaughan, Ontario",Construction,Request for Tender(RFT),
4646,Consulting Services For The Inspection And Appraisal,Services,Request for Proposal(RFP),
4651,"Roof Replacement At Elmwood Gardens, 325 Elm Rd., Town Of Whitchurch-Stoufville",Construction,Request for Tender(RFT),
4658,Aurora East And West Forcemains Cleaning And Inspection,Services,Request for Proposal(RFP),
4659,Installation Of Traffic Control Signals At Rutherford Road & Huntington Road And Installation Of Illumination At Highway 27 & King-Vaughan Road In The City Of Vaughan,Construction,Request for Tender(RFT),
4665,Partial Depth Removal Of Asphalt And Hot Mix Asphalt Paving At Various Locations In The Region Of York,Construction,Request for Tender(RFT),
4674,Project Online System Enhancements,Services,Request for Proposal(RFP),
4675,General Contractors For Bullock Drive Watermain Replacement,Construction,Request for Pre-Qualification(RFPQ),
4688,Winter Road Maintenance – Southwest Patrol District,Services,Request for Tender(RFT),
4697,Annual Inspection And Maintenance Of Self-Retracting Lifelines And Fall Arrest Winches,Services,Request for Tender(RFT),
4700,"Annual Maintenance, Inspection, And Testing Of Electrical Equipment And High Voltage Systems At Various Water And Wastewater Facilities",Services,Request for Tender(RFT),
4707,Mechanical Contractors For Hvac System Upgrades,Construction,Request for Pre-Qualification(RFPQ),
4714,Design Builders For The Design-Build Of The Proposed Affordable Seniors Rental Housing Development In Unionville,Services,Request for Pre-Qualification(RFPQ),
4722,Acquisition Of Cisco Products And Services,Services,Request for Tender(RFT),
4726,Supply & Delivery Of A Water Borne Medium Pressure Roadway Line Painting Truck,Goods,Request for Tender(RFT),
4730,Installation Of Temporary And Permanent Traffic Control Signals At The Intersection Of Highway 27 (Y.R. 27) And Nashville Road (Y.R. 49) In The City Of Vaughan,Construction,Request for Tender(RFT),
4738,Condition Assessment Of The Markham Pumping Station And Richmond Hill North Reservoir,Services,Request for Proposal(RFP),
4745,"Window And Door Replacement - Trinity Square, 37 Bates Way, Markham",Construction,Request for Tender(RFT),
4751,Renovation Of Block B On The Ground Floor At The York Region Administrative Centre,Construction,Request for Tender(RFT),
4766,Painting Services For York Region Transit Facilities,Services,Request for Tender(RFT),
4771,Detailed Design And Engineering Services For Yonge Street Sinkhole Mitigation From North Of Industrial Parkway South To North Of Go Transit Rail Line In Aurora,Services,Request for Proposal(RFP),
4772,Consulting Services For Starter Company Plus Program,Services,Request for Quotation(RFQ),
4775,Contractors For Upgrades To Paramedic Response Stations Garage Exhaust System – Various Locations In York Region,Construction,Request for Pre-Qualification(RFPQ),
4781,Consulting Services For Detailed Design And Engineering Services For Teston Road,Services,Request for Proposal(RFP),
4785,Oil-Grit Separator Structure Cleaning Including Disposal Of Collected Liquid And Solid Material From Various Locations In The Regional Municipality Of York,Goods,Request for Tender(RFT),
4789,Materials Testing And Evaluation Services,Services,Request for Pre-Qualification(RFPQ),
4799,Type Iii Modified Microsurfacing At Various Locations In The City Of Markham,Construction,Request for Tender(RFT),
4801,"Standby Generators For Rose Town And Heritage East 125 Pugsley Avenue, Town Of Richmond Hill And 349/351 Crowder Boulevard, Town Of Newmarket",Construction,Request for Tender(RFT),
4804,Site Coordination And Inspection Services For Night Work On Green Lane From Bathurst Street To Leslie Street (Contract 17-150) And Rutherford Road/Islington Avenue Intersection (Contract 17-151),Services,Request for Tender(RFT),
4805,"Replacement Of The Boiler System At York Region Administrative Centre At 17250 Yonge Street, Newmarket",Construction,Request for Tender(RFT),
4809,Condition Assessment Of The Kleinburg Water Resource Recovery Facility,Services,Request for Proposal(RFP),
4814,"Architectural And Engineering Services For Phase 2 Renovation To 145 Harry Walker Parkway N., Newmarket",Services,Request for Proposal(RFP),
4818,"Contract Administration And Site Inspection Services For The Magna And Stouffville Elevated Tanks- Recoating, Antenna Mast Installation And Facility Upgrades",Services,Request for Proposal(RFP),
4819,Community Investment Strategy  Stage One - Expression Of Interest,Services,Request for Proposal(RFP),
4894,Supply And Delivery Of Sodium Chloride Brine,Goods,Request for Tender(RFT),
4897,Hp Elitebook Revolve 810 G3 Tablets,Goods,Request for Tender(RFT),
4902,"Non-Hazardous Waste Operations And Haulage Contractors For The Georgina Transfer Station, Elgin Mills Community Environmental Centre And Mccleary Court Community Environmental Centre",Construction,Request for Pre-Qualification(RFPQ),
4906,"Design, Supply, Install, Integrate And Commission Intelligent Transportation Systems At Pioneer Village Station, Hwy 407 Station, Vaughan Metropolitan Centre Bus Terminal And Cornell Bus Terminal",Construction,Request for Proposal(RFP),
4909,Consulting Services For Data Warehouse And Business Intelligence,Services,Request for Proposal(RFP),
4912,Replacement Of Existing Access Roads At 3525 Baseline Road In The Town Of Georgina And 13461 Highway 48 In The Town Of Whitchurch-Stouffville.,Construction,Request for Tender(RFT),
4916,Imperva Securesphere Licenses And Support,Services,Request for Tender(RFT),
4918,"Supply Of Labour, Material And Equipment For Culvert Removals And Replacements At Various Locations In York Region",Construction,Request for Tender(RFT),
4922,Replacement Of Existing Roofs At 145 Harry Walker Parkway In Newmarket,Construction,Request for Tender(RFT),
4926,"Gibney Bridge Replacement (67-38 B0850) - Mccowan Road, 850 M North Of Queensville Sideroad, East Gwillimbury",Construction,Request for Tender(RFT),
4931,Promoting Reuse And Online Goods Exchanges,Services,Request for Information (RFI),
4932,Road Weather Information System (Rwis) And Weather Forecasting Services,Services,Request for Proposal(RFP),
4934,2017 Street Tree Inventory,Services,Request for Quotation(RFQ),
4938,Railway Level Crossing Repair Work At Various Locations Within The Regional Municipality Of York,Construction,Request for Tender(RFT),
4944,"Preliminary Design, Detailed Design, Contract Administration And Site Inspection For The Oak Ridges Air Management Facility",Services,Request for Proposal(RFP),
4946,Request For Information For  Armoured Car Services,Services,Request for Information (RFI),
4949,Public Wifi Service For York Region Transit Viva Terminals,Services,Request for Proposal(RFP),
4953,"Enclosure Of Balconies At 10424 Keele Street, Maple",Construction,Request for Tender(RFT),
4955,"Site Preparation, Excavation And Installation Of Concrete Transit Pads, Sidewalks And Sidewalk Links At Various Locations Within The Regional Municipality Of York",Construction,Request for Tender(RFT),
4966,Internal Courier Services,Services,Request for Tender(RFT),
4971,Intersection Improvements - Various Locations In Markham And Whitchurch-Stouffville,Construction,Request for Tender(RFT),
4977,"Floor Renovation And Reconfiguration At 50 High Tech Road, 5Th Floor, Richmond Hill",Construction,Request for Tender(RFT),
4988,"Interior Renovation Of Block B And C On 4Th Floor Of The York Region Administrative Centre At 17250 Yonge Street, Newmarket",Construction,Request for Tender(RFT),
4993,Condition Assessment For Sewage Pumping Station,Services,Request for Proposal(RFP),
4998,Prequalification For Site Coordination And Inspection Services  (17-150: Green Lane Resurfacing And 17-151: Rutherford Road & Islington Avenue),Services,Request for Pre-Qualification(RFPQ),
5002,Supply And Installation Of Plant Material And Concrete Curbing For Daylight Triangle Planting Beds,Services,Request for Quotation(RFQ),
5008,Fusion Gardening®/Water For Tomorrow Support,Services,Request for Proposal(RFP),
5010,Supply And Delivery Of Rental Uniforms And Miscellaneous Items And The Purchase Of Winter Clothing,Goods,Request for Tender(RFT),
5013,"Full Depth Removal Of Asphalt Pavement, Hot Mix Asphalt Paving And Intersection Improvements On Rutherford Road And Islington Avenue In The City Of Vaughan",Construction,Request for Tender(RFT),
5022,Supply & Delivery Of Dual Coated Glass Beads For Traffic Paint Pavement Markings,Goods,Request for Tender(RFT),
5023,Woody Vegetation Maintenance Within Regional Road Right-Of-Ways,Services,Request for Tender(RFT),
5026,Commerical Dust Mat Rental Services,Services,Request for Tender(RFT),
5029,Video Wall System For Transit Operations,Goods,Request for Proposal(RFP),
5034,"Catch Basin, Maintenance Hole And Curb Repair",Construction,Request for Tender(RFT),
5039,"Routing, Cleaning & Sealing Cracks On Various Roads In The Region Of York",Construction,Request for Tender(RFT),
5041,Ibm Software Subcription And Support - Cognos And Planning Analystics,Services,Request for Tender(RFT),
5044,Supply And Delivery Of Bulk Sodium Chloride (Highway Coarse Rock Salt),Goods,Request for Tender(RFT),
5047,"General Contractors For Foundation Repairs To Newmarket Health Centre Located At 194 Eagle Street, Town Of Newmarket",Construction,Request for Pre-Qualification(RFPQ),
5055,Sludge Management Study,Services,Request for Proposal(RFP),
5057,Consulting Services For Project Planning And Control For The York Durham Sewage System Modifications Project,Services,Request for Pre-Qualification(RFPQ),
